Date,Open,High,Low,Close,Adj Close,Volume
2018-12-01,70.150002,70.800003,57.849998,59.119999,57.682003,766000
2019-01-01,59.5,67.639999,58.450001,66.690002,65.354256,686700
2019-02-01,66.690002,70.400002,64.400002,70.010002,68.60775,560600
2019-03-01,70.580002,72.489998,64,64.730003,63.433514,595300
2019-04-01,65,74.760002,65,73.029999,71.88176,685700
2019-05-01,72.980003,74.730003,66.699997,67.309998,66.251686,631000
2019-06-01,67.43,73.599998,65.75,72.589996,71.448662,433300
2019-07-01,72.669998,94,71.559998,92.199997,91.154373,688900
2019-08-01,90.620003,99.699997,88.580002,98.82,97.699303,996300
2019-09-01,98.160004,105,96.529999,103.809998,102.632698,1286900
2019-10-01,103.989998,117.610001,100.419998,113.32,112.409393,1103000
2019-11-01,113.589996,121.870003,109.769997,110.879997,109.988998,890700
2019-12-01,111.059998,115.32,109.230003,109.349998,108.471298,673500
2020-01-01,109.510002,113.330002,104.309998,105.349998,104.825867,609400
2020-02-01,105.510002,113,85.139999,89.099998,88.656715,971300
2020-03-01,88.709999,93.120003,44.57,58.07,57.781094,2866100
2020-04-01,55.130001,70.769997,48.91,68,68,1682000
2020-05-01,66.540001,71.870003,51.48,65.419998,65.419998,1300300
2020-06-01,66.029999,74.5,65.190002,73.919998,73.919998,199100
